Sample_ID,Temperature_C,Applied_Voltage,Droplet_Volume_pL,DVR,Impact_Velocity_m_s,Spread_Radius,VO2_State,Resistance_Ohm
SAMP-0000,24.07,0.47,4.332,3.61,4.61,1650.572,INSULATOR,361000.0
SAMP-0001,77.57,2.73,3.337,2.7808,4.8,1390.0744,CONDUCTIVE_METAL,3.6
SAMP-0002,43.16,3.68,0.706,0.5883,3.16,264.2491,INSULATOR,58833.33
SAMP-0003,39.56,9.5,0.879,0.7325,4.09,404.2973,CONDUCTIVE_METAL,13.65
SAMP-0004,89.39,3.33,0.592,0.4933,3.28,240.5743,CONDUCTIVE_METAL,20.27
SAMP-0005,80.53,5.84,1.958,1.6317,2.95,552.6398,CONDUCTIVE_METAL,6.13
SAMP-0006,42.92,7.4,2.636,2.1967,1.74,415.5972,CONDUCTIVE_METAL,4.55
SAMP-0007,75.36,2.69,0.844,0.7033,2.13,204.0559,CONDUCTIVE_METAL,14.22
SAMP-0008,54.5,2.07,3.517,2.9308,3.14,949.1324,INSULATOR,293083.33
SAMP-0009,45.64,9.82,4.965,4.1375,4.0,1598.9375,CONDUCTIVE_METAL,2.42
SAMP-0010,78.82,7.35,4.736,3.9467,2.45,942.7652,CONDUCTIVE_METAL,2.53
SAMP-0011,20.74,6.72,1.87,1.5583,3.54,638.785,CONDUCTIVE_METAL,6.42
SAMP-0012,39.58,9.81,3.243,2.7025,3.74,1058.1414,CONDUCTIVE_METAL,3.7
SAMP-0013,39.16,1.28,1.663,1.3858,1.5,246.0635,INSULATOR,138583.33
SAMP-0014,56.36,0.38,1.334,1.1117,4.49,616.6078,INSULATOR,111166.67
SAMP-0015,61.5,3.59,4.926,4.105,1.12,444.8673,INSULATOR,410500.0
SAMP-0016,92.63,2.19,3.086,2.5717,3.77,1024.2785,CONDUCTIVE_METAL,3.89
SAMP-0017,77.5,9.23,4.582,3.8183,2.73,1022.8373,CONDUCTIVE_METAL,2.62
SAMP-0018,27.55,5.1,1.965,1.6375,1.35,253.6397,CONDUCTIVE_METAL,6.11
SAMP-0019,52.42,3.36,0.834,0.695,4.63,439.5116,INSULATOR,69500.0
SAMP-0020,74.52,2.52,2.711,2.2592,4.14,1011.7839,CONDUCTIVE_METAL,4.43
SAMP-0021,86.7,9.01,2.429,2.0242,3.86,862.3104,CONDUCTIVE_METAL,4.94
SAMP-0022,72.69,2.91,0.538,0.4483,1.56,106.6941,CONDUCTIVE_METAL,22.3
SAMP-0023,99.0,4.95,3.704,3.0867,4.34,1368.3779,CONDUCTIVE_METAL,3.24
SAMP-0024,64.77,9.45,4.86,4.05,4.92,1933.1085,CONDUCTIVE_METAL,2.47
SAMP-0025,36.7,7.49,3.103,2.5858,4.05,1105.3004,CONDUCTIVE_METAL,3.87
SAMP-0026,79.99,0.18,0.541,0.4508,4.85,333.0514,CONDUCTIVE_METAL,22.18
SAMP-0027,89.54,1.86,2.871,2.3925,4.63,1185.8511,CONDUCTIVE_METAL,4.18
SAMP-0028,95.4,8.08,1.408,1.1733,1.86,266.7439,CONDUCTIVE_METAL,8.52
SAMP-0029,47.12,8.71,2.055,1.7125,1.7,331.2801,CONDUCTIVE_METAL,5.84
SAMP-0030,82.73,2.39,3.711,3.0925,4.65,1468.3733,CONDUCTIVE_METAL,3.23
SAMP-0031,39.67,0.55,4.973,4.1442,3.88,1552.9818,INSULATOR,414416.67
SAMP-0032,63.58,9.1,3.272,2.7267,1.45,413.2332,CONDUCTIVE_METAL,3.67
SAMP-0033,24.06,2.59,3.584,2.9867,4.83,1482.587,INSULATOR,298666.67
SAMP-0034,76.26,0.47,1.047,0.8725,2.06,233.3858,CONDUCTIVE_METAL,11.46
SAMP-0035,52.4,1.91,2.337,1.9475,4.7,1017.3339,INSULATOR,194750.0
SAMP-0036,72.75,3.82,2.978,2.4817,2.14,564.7433,CONDUCTIVE_METAL,4.03
SAMP-0037,84.9,8.35,4.048,3.3733,3.17,1074.2863,CONDUCTIVE_METAL,2.96
SAMP-0038,70.96,2.28,3.234,2.695,2.47,697.2428,CONDUCTIVE_METAL,3.71
SAMP-0039,57.95,0.07,2.859,2.3825,3.54,903.5775,INSULATOR,238250.0
SAMP-0040,46.19,3.16,2.203,1.8358,2.15,443.4514,INSULATOR,183583.33
SAMP-0041,90.72,9.1,2.512,2.0933,4.96,1138.9145,CONDUCTIVE_METAL,4.78
SAMP-0042,94.23,9.49,3.159,2.6325,2.88,797.5556,CONDUCTIVE_METAL,3.8
SAMP-0043,56.42,0.55,3.353,2.7942,4.62,1343.1766,INSULATOR,279416.67
SAMP-0044,56.23,3.03,3.247,2.7058,1.52,430.4796,INSULATOR,270583.33
SAMP-0045,54.36,3.26,0.798,0.665,4.85,445.085,INSULATOR,66500.0
SAMP-0046,81.22,1.49,1.815,1.5125,4.08,718.5581,CONDUCTIVE_METAL,6.61
SAMP-0047,70.07,8.27,3.41,2.8417,1.22,359.6009,CONDUCTIVE_METAL,3.52
SAMP-0048,51.83,7.97,3.644,3.0367,3.54,1101.4052,CONDUCTIVE_METAL,3.29
SAMP-0049,63.9,8.74,4.524,3.77,3.06,1134.733,CONDUCTIVE_METAL,2.65
SAMP-0050,37.31,7.48,4.659,3.8825,3.72,1412.6462,CONDUCTIVE_METAL,2.58
SAMP-0051,97.23,6.81,3.772,3.1433,3.36,1075.1841,CONDUCTIVE_METAL,3.18
SAMP-0052,59.97,1.18,2.757,2.2975,3.41,844.923,INSULATOR,229750.0
SAMP-0053,49.34,0.12,3.044,2.5367,1.29,346.5813,INSULATOR,253666.67
SAMP-0054,61.88,6.27,0.593,0.4942,3.56,261.4357,CONDUCTIVE_METAL,20.24
SAMP-0055,80.83,9.04,1.844,1.5367,3.83,683.2837,CONDUCTIVE_METAL,6.51
SAMP-0056,94.47,7.91,3.536,2.9467,3.29,998.8479,CONDUCTIVE_METAL,3.39
SAMP-0057,51.17,0.53,2.748,2.29,3.53,872.3209,INSULATOR,229000.0
SAMP-0058,53.56,7.12,2.014,1.6783,3.35,642.1711,CONDUCTIVE_METAL,5.96
SAMP-0059,61.26,7.98,4.871,4.0592,2.95,1161.1937,CONDUCTIVE_METAL,2.46
SAMP-0060,26.56,8.35,3.602,3.0017,3.19,983.1855,CONDUCTIVE_METAL,3.33
SAMP-0061,84.47,4.42,3.142,2.6183,4.14,1141.4459,CONDUCTIVE_METAL,3.82
SAMP-0062,79.13,4.16,2.481,2.0675,1.37,311.4008,CONDUCTIVE_METAL,4.84
SAMP-0063,26.72,8.81,4.803,4.0025,2.69,1046.916,CONDUCTIVE_METAL,2.5
SAMP-0064,69.41,1.45,3.895,3.2458,3.35,1100.3152,CONDUCTIVE_METAL,3.08
SAMP-0065,48.23,3.22,2.239,1.8658,1.67,349.0405,INSULATOR,186583.33
SAMP-0066,78.9,9.44,3.358,2.7983,1.99,579.258,CONDUCTIVE_METAL,3.57
SAMP-0067,63.18,9.14,2.459,2.0492,3.24,731.1066,CONDUCTIVE_METAL,4.88
SAMP-0068,69.62,6.95,4.021,3.3508,1.48,498.8425,CONDUCTIVE_METAL,2.98
SAMP-0069,24.61,6.89,2.008,1.6733,1.49,284.9282,CONDUCTIVE_METAL,5.98
SAMP-0070,81.86,3.21,4.789,3.9908,2.93,1137.6394,CONDUCTIVE_METAL,2.51
SAMP-0071,83.64,6.96,3.221,2.6842,1.96,551.4617,CONDUCTIVE_METAL,3.73
SAMP-0072,67.02,1.51,1.283,1.0692,2.02,268.8852,INSULATOR,106916.67
SAMP-0073,43.8,7.86,1.221,1.0175,3.13,400.4967,CONDUCTIVE_METAL,9.83
SAMP-0074,38.12,3.39,1.564,1.3033,1.96,305.9367,INSULATOR,130333.33
SAMP-0075,46.04,6.59,1.434,1.195,3.6,523.9332,CONDUCTIVE_METAL,8.37
SAMP-0076,87.08,8.89,1.217,1.0142,4.41,562.8056,CONDUCTIVE_METAL,9.86
SAMP-0077,98.32,8.16,1.081,0.9008,3.16,367.1331,CONDUCTIVE_METAL,11.1
SAMP-0078,94.74,1.05,4.385,3.6542,4.17,1507.8044,CONDUCTIVE_METAL,2.74
SAMP-0079,64.99,1.0,3.955,3.2958,4.01,1333.5521,INSULATOR,329583.33
SAMP-0080,57.92,8.43,3.838,3.1983,3.59,1165.1003,CONDUCTIVE_METAL,3.13
SAMP-0081,48.09,7.65,4.299,3.5825,3.6,1280.9924,CONDUCTIVE_METAL,2.79
